,1944,28.250000,7.000000
1250,1890,28.950000,0.816670
150,1947,22.833330,4.983330
6700,1989,27.500000,3.616670
228,1989,27.616670,3.850000
145,1989,27.816670,4.033330
1020,1989,27.583330,3.816670
115,1989,27.600000,3.833330
561,1989,27.633330,3.966670
542,1989,27.516670,3.650000
205,1989,27.533330,3.700000
127,1989,27.733330,4.083330
276,1989,27.750000,4.100000
3800,1989,27.750000,4.166670
98,1989,27.800000,4.166670
490,1989,27.833330,4.283330
307,1989,27.800000,4.466670
98,1989,27.783330,4.283330
111,1989,27.716670,4.483330
446,1989,27.733330,4.400000
207,1989,27.700000,4.083330
581,1989,27.700000,4.066670
708,1989,27.700000,4.066670
2140,1989,27.550000,3.616670
192,1989,27.516670,3.833330
118,1989,27.516670,3.916670
1464,1989,27.550000,3.933330
920,1989,27.583330,3.966670
88,1989,27.616670,4.050000
206,1989,27.666670,4.200000
3130,1989,27.666670,4.250000
98,1989,27.683330,4.333330
123,1989,27.683330,4.416670
2016,1989,27.666670,4.350000
495,1989,27.650000,4.466670
93,1989,27.650000,4.433330
184,1989,27.633330,4.350000
36,1989,27.600000,4.300000
112,1989,27.583330,4.250000
385,1989,27.550000,4.133330
962,1989,27.533330,4.000000
225,1989,27.533330,3.916670
146,1989,27.466670,3.783330
134,1989,27.433330,3.716670
246,1989,27.466670,3.833330
120,1989,27.516670,3.916670
195,1989,27.550000,4.000000
1066,1989,27.783330,4.700000
1440,1989,27.833330,4.700000
115,1989,27.550000,4.083330
82.9,1989,27.416670,3.716670
1394,1989,27.650000,4.500000
905,1989,27.616670,4.416670
58,1989,27.750000,4.150000
1937,1989,27.733330,4.050000
2051,1989,27.700000,3.933330
1338,1989,27.500000,3.983330
129,1989,27.466670,3.883330
277,1989,27.383330,3.716670
281,1989,27.516670,4.066670
226,1989,27.566670,4.166670
105,1989,27.600000,4.250000
283,1989,27.600000,4.416670
716,1989,27.616670,4.566670
854,1989,27.616670,4.566670
1539,1989,27.500000,4.283330
517,1990,27.633330,4.066670
383,1990,27.716670,4.783330
1805,1990,27.550000,3.700000
941,1990,27.533330,3.833330
138,1990,27.683330,4.483330
1379,1990,27.633330,4.283330
162,1990,27.633330,4.250000
2010,1990,27.533330,3.850000
384,1990,27.483330,3.833330
1453,1990,27.516670,3.733330
183,1990,27.700000,4.350000
2538,1990,27.633330,4.516670
105,1990,27.566670,4.150000
387,1990,27.500000,3.683330
574,1990,27.633330,4.516670
110,1990,27.533330,3.866670
208,1990,27.500000,3.483330
690,1990,27.483330,3.633330
6300,1990,27.550000,3.866670
293,1990,27.583330,3.950000
173,1990,27.666670,4.183330
163,1990,27.700000,4.266670
200,1990,27.750000,4.433330
682,1990,27.633330,4.300000
290,1990,27.500000,3.833330
3487,1990,27.450000,4.116670
244,1990,27.666670,4.516670
420,1990,27.716670,4.133330
82,1990,27.733330,4.433330
104,1990,27.716670,4.383330
572,1990,27.616670,4.200000
63,1990,27.516670,3.966670
5500,1990,27.466670,3.883330
313,1990,27.450000,3.833330
140,1990,27.466670,3.950000
452,1990,27.533330,4.166670
346,1990,27.666670,4.466670
665,1990,27.800000,4.500000
992,1990,27.633330,4.366670
392,1990,27.550000,4.133330
1390,1990,27.500000,3.900000
105,1990,27.450000,3.750000
828,1990,27.500000,3.883330
236,1990,27.550000,3.766670
107,1990,27.483330,3.800000
987,1990,27.483330,3.800000
216,1990,27.650000,4.033330
2906,1990,27.566670,4.033330
43,1990,27.600000,3.966670
287,1990,27.733330,4.166670
345,1990,27.733330,4.166670
178,1990,27.733330,4.200000
752,1990,27.666670,4.200000
121,1990,27.650000,4.233330
861,1990,27.650000,4.300000
427,1990,27.683330,4.333330
235,1990,27.500000,3.666670
452,1990,27.466670,3.766670
542,1990,27.600000,4.050000
3380,1990,27.683330,4.350000
280,1990,27.516670,3.800000
699,1990,27.700000,4.300000
163,1990,27.500000,4.300000
162,1990,27.600000,4.200000
400,1990,27.583330,4.000000
171,1990,27.583330,3.966670
1621,1990,27.500000,3.766670
362,1990,27.500000,3.833330
1161,1990,27.766670,4.533330
124,1990,27.550000,4.033330
324,1990,27.466670,4.050000
106,1990,27.583330,4.083330
941,1990,27.666670,4.083330
143,1990,27.566670,4.083330
171,1990,27.566670,4.083330
58,1990,27.583330,3.850000
91,1990,27.566670,4.350000
417,1990,27.666670,4.450000
186,1990,27.666670,4.283330
869,1990,27.666670,4.283330
200,1990,27.633330,4.083330
140,1990,27.600000,4.116670
157,1990,27.583330,4.066670
394,1990,27.583330,4.050000
251,1990,27.566670,3.816670
218,1990,27.466670,3.716670
157,1990,27.433330,3.750000
211,1990,27.533330,3.950000
95,1990,27.550000,4.016670
206,1990,27.666670,4.250000
240,1990,27.666670,4.233330
1072,1990,27.666670,4.233330
422,1990,27.666670,4.216670
123,1990,27.500000,3.933330
433,1990,27.466670,3.716670
604,1990,27.750000,4.433330
1281,1990,27.666670,4.016670
125,1990,27.700000,4.350000
43,1990,27.533330,4.183330
84,1990,27.566670,4.333330
2476,1990,27.516670,4.233330
157,1990,27.516670,4.000000
211,1990,27.600000,3.983330
559,1990,27.733330,4.116670
313,1990,27.650000,4.250000
766,1990,27.666670,4.166670
262,1990,27.650000,4.033330
127,1990,27.483330,3.866670
153,1990,27.483330,3.850000
320,1990,27.483330,3.850000
721,1990,27.483330,3.850000
488,1990,27.483330,3.750000
163,1990,27.466670,3.750000
103,1990,27.600000,4.166670
245,1990,27.666670,4.200000
166,1990,27.700000,4.350000
114,1990,27.583330,4.166670
311,1990,27.566670,4.016670
109,1990,27.533330,3.833330
315,1990,27.466670,3.866670
234,1990,27.466670,3.900000
252,1990,27.583330,4.116670
53,1990,27.600000,4.183330
4439,1990,27.700000,4.300000
188,1990,27.700000,4.300000
219,1990,27.650000,4.200000
157,1990,27.566670,3.950000
361,1991,27.499440,3.688890
233,1991,27.524720,3.811390
29,1991,27.576940,4.033890
115,1991,27.555830,4.140000
267,1991,27.516940,3.791390
215,1991,27.480280,3.851390
1301,1991,27.501940,3.921110
55,1991,27.592220,3.918060
389,1991,27.508890,4.601670
292,1991,27.578060,4.369170
64,1991,27.646390,3.983060
746,1991,27.737500,4.328060
1229,1991,27.690830,4.378610
105,1991,27.688060,4.371940
510,1991,27.504720,3.881940
475,1991,27.504720,3.881940
720,1991,27.497220,3.870280
1009,1991,27.464720,3.781670
1340,1991,27.612780,3.713610
526,1991,27.681110,4.306940
612,1991,27.690000,4.378610
107,1991,27.640280,4.170560
293,1991,27.599720,4.903610
174,1991,27.594440,3.885830
114,1991,27.544720,3.743060
2611,1991,27.521390,3.791390
117,1991,27.524170,3.796940
812,1991,27.532500,3.813610
334,1991,27.541940,3.827780
1398,1991,27.541940,3.827780
85,1991,27.638890,3.934440
255,1991,27.645280,3.943890
221,1991,27.684440,3.993890
78,1991,27.668610,4.425000
2285,1991,27.573890,4.119720
325,1991,27.826110,4.246110
69,1991,27.740560,4.308330
218,1991,27.734720,4.316110
725,1991,27.739440,4.328330
242,1991,27.717220,4.448060
621,1991,27.501110,4.098610
461,1991,27.518890,4.016670
81,1991,27.510560,3.891110
673,1991,27.491670,3.832780
311,1991,27.503610,3.673060
160,1991,27.484440,3.666390
342,1991,27.498330,3.694440
86,1991,27.515830,3.727220
318,1991,27.521110,3.773330
2045,1991,27.524720,3.809720
75,1991,27.563890,3.926390
923,1991,27.692220,3.321670
60,1991,27.636110,4.031390
402,1991,27.635560,4.025280
99,1991,27.621670,3.953610
382,1991,27.551390,3.741940
202,1991,27.509720,3.880560
146,1991,27.511110,3.884440
47,1991,27.513610,3.896940
99,1991,27.522220,3.946940
124,1991,27.646110,4.397220
235,1991,27.646110,4.397220
75,1991,27.685280,4.503330
212,1991,27.670560,4.346110
114,1991,27.524440,3.873610
177,1991,27.475560,3.710280
73,1991,27.709170,4.420830
92,1991,27.670000,4.497220
438,1991,27.691110,4.337500
243,1991,27.694720,4.306390
83,1991,27.715000,4.192780
518,1991,27.727220,4.170560
229,1991,27.510560,3.713060
764,1991,27.513890,3.875280
276,1991,27.514720,3.865560
298,1991,27.518610,3.857220
237,1991,27.561110,4.055560
63,1991,27.570280,4.075000
2110,1991,27.621940,4.455560
203,1991,27.633890,4.187220
429,1991,27.633610,4.173060
99,1991,27.639720,4.145280
41,1991,27.639170,4.142780
72,1991,27.638610,4.127220
96,1991,27.642780,4.068890
177,1991,27.535280,3.912780
165,1991,27.542220,3.884440
67,1991,27.654440,4.275280
187,1991,27.700560,4.229440
120,1991,27.706110,4.205830
69,1991,27.631390,4.107220
407,1991,27.794720,4.167220
59,1992,27.616670,4.190560
55,1992,27.591390,3.988060
76,1992,27.474170,3.864170
213,1992,27.545280,4.048610
261,1992,27.708060,4.248060
432,1992,27.718610,4.486110
198,1992,27.665830,4.190560
457,1992,27.649720,4.011940
217,1992,27.483330,3.915560
121,1992,27.582780,4.000000
43,1992,27.633610,4.041390
2000,1992,27.709170,4.174440
180,1992,27.682500,4.420280
270,1992,27.590280,4.151940
162,1992,27.527220,3.898060
95,1992,27.586940,3.964170
83,1992,27.602220,3.985280
60,1992,27.623610,4.025560
369,1992,27.687220,4.183610
129,1992,27.428890,3.820000
520,1992,27.490830,3.897780
74,1992,27.559720,4.010280
185,1992,27.645560,4.204440
169,1992,27.683610,4.253060
120,1992,27.508060,3.844170
364,1992,27.578610,3.968890
78,1992,27.600560,3.995560
169,1992,27.663890,4.098060
506,1992,27.699720,4.186110
126,1992,27.687500,4.245000
878,1992,27.592780,4.401390
292,1992,27.550280,3.998060
2393,1992,27.551940,3.816110
167,1992,27.460560,3.888060
157,2001,27.545500,4.061170
25,2001,27.559170,4.093000
117,2001,27.503000,3.879500
69,2001,27.500830,3.869830
32,1989,27.500000,3.616670
139,1989,27.500000,3.616670
745.22,2001,27.733330,4.433330
180.07,2001,27.733330,4.216670
30000,2001,27.583330,4.100000
490,2001,27.650000,4.033330
750,2001,27.583330,4.016670
115.02,2001,27.733330,4.133330
489,2001,27.566670,4.066670
211.25,2002,27.650000,4.383330
261,2002,27.733330,4.433330
19400,2002,27.616670,4.066670
360,2002,27.683330,4.266670
377.6,2002,27.716670,4.266670
400,2002,27.550000,4.200000
173.15,2002,27.583330,4.300000
132,2002,27.466670,3.833330
1276,2002,27.590560,4.662780
140,2002,27.619722,4.265000
410,2002,27.733330,4.198330
53,2002,27.464720,3.814170
546,2002,27.590560,4.662780
1165,2001,27.683330,4.300000
8750,2001,27.979330,4.278170
298,2001,27.840670,4.314330
128,2001,27.672000,4.526330
211,2001,27.700000,4.133330
873,2001,27.766670,4.016670
11935,2001,27.489170,3.890000
252,2001,27.500500,3.882330
161,2002,27.589670,3.781000
120,2002,27.612330,4.528500
62,2001,27.500830,4.874670
70,2002,27.766670,4.416670
67,2002,27.700000,4.483330
68,2002,27.483330,3.766670
138,2002,27.429580,3.871350
242.8,2002,27.477800,3.701650
389.9,2002,27.581630,4.293880
656,2002,27.700000,4.516670
1456,2002,27.609330,3.935670
1456,2002,26.609330,3.935670
410,2002,27.684330,4.429170
126,2002,27.688830,4.386000
122,2002,27.667000,4.648330
129,2002,27.672500,4.356670
9608,2002,27.678170,4.465330
238,2002,26.611670,3.887000
128,2002,26.625830,3.944330
118,2002,26.608670,4.053000
495,2002,27.508500,3.763830
132,2002,27.639500,3.935000
132,2002,27.662500,3.976830
1320,2003,27.400000,3.750000
14764,2004,27.411400,3.704670
849,2002,27.766670,4.416670
292,2002,27.700000,4.450000
101,2002,27.633330,3.933330
200,2004,27.360170,3.700000
177,2004,27.558000,4.015000
1072,2004,27.616670,3.866670
397,2004,27.504000,3.681670
578,2004,27.502500,3.693000
388,2004,27.596170,4.172000
74,1997,27.516670,3.866670
74,1997,27.583330,4.033330
364,2001,27.518670,3.880330
394,2001,27.509170,3.887670
148,2001,27.512000,3.897830
105,2001,27.509000,3.895830
97,2001,27.502170,3.860830
89,2001,27.502670,3.872500
101,2001,27.500830,3.866170
9,2002,27.689170,4.442670
1917,1990,28.050000,0.166670
407,1990,27.816670,0.133330
287,1990,27.133330,0.200000
360,2001,20.500000,9.000000
896,1990,26.966670,4.450000
236,1990,26.966670,4.400000
809,1990,27.366670,4.500000
1137,1990,27.333330,4.500000
859,1991,27.435830,4.638610
435,1992,27.576390,4.525280
334,1992,27.507780,4.601670
79,1992,27.478890,4.198060
1446,1992,27.428610,4.124170
367,1993,27.360560,4.944720
207,1993,27.350280,4.202500
347,1993,27.517500,4.191110
364,1993,27.569720,4.525560
167,1993,27.578060,4.322500
1106,1993,27.509720,4.161110
177,1993,27.591670,4.316940
1000,2001,27.400000,4.350000
1760,1968,28.462500,1.025000
239,1991,24.947780,6.943060
374,1969,28.312500,0.233330
1388,2003,25.223670,0.845600
30616,2003,25.155920,0.822130
4570.2,2003,25.086830,0.832400
12500,1990,27.866670,0.450000
88,1991,29.685000,4.031940
164,1991,29.698890,4.058890
9000,1991,29.759440,4.208610
133,1991,29.763060,4.235280
132,1991,29.537220,4.226390
43,1991,29.739720,4.221390
538,1991,29.710000,4.190280
30.5,2002,29.818350,4.382280
331.2,2002,29.126600,4.717730
720,2002,29.975000,4.666670
13,1997,29.166670,3.733330
717,1997,28.900000,4.516670
156,1998,29.366670,4.750000
148,1997,29.533330,4.316670
325,2001,27.266670,6.766670
1272,2002,29.758830,1.884670
,1971,26.433330,3.655560
5465,1969,28.604170,1.041670
713,1989,21.516670,1.583330
4121,1989,21.516670,1.300000
66,1989,21.550000,1.366670
450,1989,21.550000,1.533330
474,1989,21.550000,1.683330
179,1989,21.600000,1.333330
615,1989,21.600000,1.450000
26100,1989,21.600000,1.666670
421,1989,21.633330,1.266670
621,1989,21.633330,1.400000
2047,1989,21.633330,1.516670
295,1989,21.633330,1.816670
745,1989,21.666670,1.383330
3150,1989,21.666670,1.850000
72,1989,21.716670,1.500000
96,1989,21.716670,1.600000
1063,2004,21.590670,1.524170
185,1991,26.750000,8.883330
72000,1945,27.129170,8.667220
5174,1936,24.166670,0.083330
540,1969,28.295830,0.025000
99,1990,28.016670,0.300000
4334,2002,28.297670,0.666500
10000,2002,28.298330,0.666670
3000,2002,28.300000,0.500000
420,2002,27.891670,0.216670
2995,2004,27.370330,0.706170
42000,2001,20.537000,9.537830
37,1989,25.583330,0.500000
71,1989,25.633330,0.533330
9500,1989,25.633330,0.500000
971,2004,22.783330,4.150000
36,1991,25.541110,0.496670
482,1989,25.383330,0.516670
2347,1989,24.400000,1.033330
142,1989,25.450000,0.550000
